test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
Zbbx	Zbbx	Zbbx	chr3:74841828-74947645	SVZ_IZ	VZ	OK	0.597612	0.0826526	-2.85408	3.75069	0.00017635	0.000578002	yes
Pcdha5	Pcdha5	Pcdha5	chr18:37089938-38001526	SVZ_IZ	VZ	OK	0.636619	0.0908004	-2.80966	3.77442	0.000160379	0.000529667	yes
Clstn2	Clstn2	Clstn2	chr9:97344813-97933586	SVZ_IZ	VZ	OK	8.25288	1.23787	-2.73703	10.0028	0	0	yes
Cd79b	Cd79b	Cd79b	chr11:106172654-106175843	SVZ_IZ	VZ	OK	0.560877	0.0847297	-2.72674	2.6036	0.00922503	0.0212554	yes
Abcc8	Abcc8	Abcc8	chr7:53359892-53435403	SVZ_IZ	VZ	OK	10.605	1.62121	-2.7096	10.7357	0	0	yes
Slc2a6	Slc2a6	Slc2a6	chr2:26876884-26883518	SVZ_IZ	VZ	OK	0.70755	0.110213	-2.68254	3.89144	9.97E-05	0.000340116	yes
2810011L19Rik	2810011L19Rik	2810011L19Rik	chr12:106574803-106622142	SVZ_IZ	VZ	OK	1.30744	0.20591	-2.66666	5.15355	2.56E-07	1.24E-06	yes
Fam19a2	Fam19a2	Fam19a2	chr10:122701131-123178260	SVZ_IZ	VZ	OK	2.47121	0.392219	-2.65549	10.2685	0	0	yes
Cntn2	Cntn2	Cntn2	chr1:134406001-134439517	SVZ_IZ	VZ	OK	141.462	22.485	-2.65338	14.8592	0	0	yes
Gm11762	Gm11762	Gm11762	chr11:119409943-119430360	SVZ_IZ	VZ	OK	0.465028	0.074347	-2.64497	2.75299	0.00590544	0.0142459	yes
Nr0b1	Nr0b1	Nr0b1	chrX:83437113-83441283	SVZ_IZ	VZ	OK	1.31988	0.211628	-2.64081	4.25566	2.08E-05	7.93E-05	yes
Helt	Helt	Helt	chr8:47377401-47380025	SVZ_IZ	VZ	OK	0.474838	0.0776094	-2.61313	2.92445	0.00345071	0.00877273	yes
Cabp7	Cabp7	Cabp7	chr11:4638823-4646781	SVZ_IZ	VZ	OK	0.860323	0.142196	-2.59699	2.33969	0.0192997	0.0407632	yes
Jakmip1	Jakmip1	Jakmip1	chr5:37442095-37516537	SVZ_IZ	VZ	OK	35.224	5.8372	-2.59321	11.1822	0	0	yes
Fhl2	Fhl2	Fhl2	chr1:43179918-43220806	SVZ_IZ	VZ	OK	4.00006	0.67814	-2.56037	5.84951	4.93E-09	2.87E-08	yes
Arpp21	Arpp21	Arpp21	chr9:111967594-112251429	SVZ_IZ	VZ	OK	3.25925	0.561297	-2.5377	10.3604	0	0	yes
Nos1	Nos1	Nos1	chr5:118317127-118403820	SVZ_IZ	VZ	OK	5.86071	1.02478	-2.51576	8.78493	0	0	yes
Ush1c	Ush1c	Ush1c	chr7:53450720-53493860	SVZ_IZ	VZ	OK	0.960708	0.172423	-2.47815	3.89458	9.84E-05	0.00033623	yes
Dscam	Dscam	Dscam	chr16:96813686-97392342	SVZ_IZ	VZ	OK	8.36791	1.50776	-2.47246	10.9071	0	0	yes
Gpr17	Gpr17	Gpr17	chr18:32091160-32118273	SVZ_IZ	VZ	OK	0.338616	0.0617084	-2.45611	3.91263	9.13E-05	0.000313925	yes
2900079G21Rik	2900079G21Rik	2900079G21Rik	chr9:111967594-112251429	SVZ_IZ	VZ	OK	4.28282	0.781147	-2.45489	5.46401	4.66E-08	2.46E-07	yes
Gpr3	Gpr3	Gpr3	chr4:132765254-132768451	SVZ_IZ	VZ	OK	0.393721	0.0725025	-2.44107	2.7319	0.00629711	0.0151013	yes
Tmem63c	Tmem63c	Tmem63c	chr12:88367513-88430989	SVZ_IZ	VZ	OK	0.471044	0.0868307	-2.43959	3.58853	0.000332552	0.00103597	yes
Chst9	Chst9	Chst9	chr18:15610683-15876555	SVZ_IZ	VZ	OK	0.626134	0.115487	-2.43874	2.92455	0.0034496	0.00877087	yes
Rbfox1	Rbfox1	Rbfox1	chr16:5884885-7412573	SVZ_IZ	VZ	OK	27.6611	5.16741	-2.42035	13.4037	0	0	yes
Prkcq	Prkcq	Prkcq	chr2:11094008-11222853	SVZ_IZ	VZ	OK	0.451412	0.0851028	-2.40717	3.59578	0.000323416	0.00101044	yes
Trim67	Trim67	Trim67	chr8:127316918-127358604	SVZ_IZ	VZ	OK	10.7336	2.03031	-2.40237	11.869	0	0	yes
9130024F11Rik	9130024F11Rik	9130024F11Rik	chr1:57028312-57032040	SVZ_IZ	VZ	OK	100.27	18.9818	-2.40121	14.3531	0	0	yes
Lypd6b	Lypd6b	Lypd6b	chr2:49643205-49804366	SVZ_IZ	VZ	OK	2.43252	0.463674	-2.39127	5.31326	1.08E-07	5.46E-07	yes
Rspo3	Rspo3	Rspo3	chr10:29172912-29255673	SVZ_IZ	VZ	OK	7.08762	1.35135	-2.3909	7.57256	3.66E-14	3.19E-13	yes
Gm5415	Gm5415	Gm5415	chr1:32229650-32714583	SVZ_IZ	VZ	OK	0.737155	0.142156	-2.37449	4.41592	1.01E-05	4.00E-05	yes
Rnf112	Rnf112	Rnf112	chr11:61261943-61267388	SVZ_IZ	VZ	OK	2.82492	0.545606	-2.37228	6.1424	8.13E-10	5.10E-09	yes
Plcxd3	Plcxd3	Plcxd3	chr15:4325490-4525579	SVZ_IZ	VZ	OK	0.342822	0.0667478	-2.36067	2.58858	0.00963724	0.0220899	yes
4930506M07Rik	4930506M07Rik	4930506M07Rik	chr19:59047847-59150559	SVZ_IZ	VZ	OK	34.9482	6.85338	-2.35033	18.0946	0	0	yes
D4Ertd617e	D4Ertd617e	D4Ertd617e	chr4:118293403-118304520	SVZ_IZ	VZ	OK	0.893985	0.175419	-2.34945	2.38083	0.0172736	0.0369792	yes
9930013L23Rik	9930013L23Rik	9930013L23Rik	chr7:91081366-91235015	SVZ_IZ	VZ	OK	2.50137	0.493095	-2.34278	7.51333	5.77E-14	4.93E-13	yes
Adra2c	Adra2c	Adra2c	chr5:35621214-35624412	SVZ_IZ	VZ	OK	7.25703	1.43284	-2.3405	7.73944	9.99E-15	9.02E-14	yes
Bcl6	Bcl6	Bcl6	chr16:23965137-23988698	SVZ_IZ	VZ	OK	5.94297	1.19518	-2.31396	7.66134	1.84E-14	1.64E-13	yes
Vsnl1	Vsnl1	Vsnl1	chr12:11332050-11443455	SVZ_IZ	VZ	OK	0.662021	0.133145	-2.31388	3.21821	0.00128993	0.00358981	yes
Gpr85	Gpr85	Gpr85	chr6:13785073-13789848	SVZ_IZ	VZ	OK	21.4621	4.33183	-2.30874	10.281	0	0	yes
Nefl	Nefl	Nefl	chr14:68701940-68705794	SVZ_IZ	VZ	OK	1.02463	0.20694	-2.30782	3.86621	0.000110538	0.000374799	yes
Gm996	Gm996	Gm996	chr2:25430935-25435619	SVZ_IZ	VZ	OK	0.838724	0.169511	-2.30682	4.85459	1.21E-06	5.40E-06	yes
Ppp1r14c	Ppp1r14c	Ppp1r14c	chr10:6881565-6980391	SVZ_IZ	VZ	OK	7.8709	1.59103	-2.30657	7.53866	4.75E-14	4.10E-13	yes
Vgf	Vgf	Vgf	chr5:137506164-137509221	SVZ_IZ	VZ	OK	0.56916	0.115274	-2.30377	3.41344	0.000641477	0.00190015	yes
Jph4	Jph4	Jph4	chr14:55725662-55735772	SVZ_IZ	VZ	OK	33.0481	6.76275	-2.28889	12.0306	0	0	yes
Hecw1	Hecw1	Hecw1	chr13:14318704-14615493	SVZ_IZ	VZ	OK	9.16346	1.88419	-2.28195	10.9282	0	0	yes
Dlk2	Dlk2	Dlk2	chr17:46434369-46464972	SVZ_IZ	VZ	OK	2.76438	0.569965	-2.27801	4.82334	1.41E-06	6.26E-06	yes
Ipw	Ipw	Ipw	chr7:66874527-66934248	SVZ_IZ	VZ	OK	4.4808	0.929816	-2.26874	4.17734	2.95E-05	0.000109587	yes
Hcn4	Hcn4	Hcn4	chr9:58671318-58708762	SVZ_IZ	VZ	OK	1.93912	0.410835	-2.23877	5.79785	6.72E-09	3.86E-08	yes
Grm2	Grm2	Grm2	chr9:106546865-106558440	SVZ_IZ	VZ	OK	0.753337	0.160548	-2.2303	4.04985	5.13E-05	0.000183177	yes
Olfm4	Olfm4	Olfm4	chr14:80400108-80421737	SVZ_IZ	VZ	OK	0.831617	0.178956	-2.21631	3.14039	0.0016872	0.00458352	yes
Trnp1	Trnp1	Trnp1	chr4:133047014-133054465	SVZ_IZ	VZ	OK	17.6152	3.79598	-2.21428	7.93255	2.22E-15	2.09E-14	yes
Clmp	Clmp	Clmp	chr9:40494046-40592129	SVZ_IZ	VZ	OK	35.7013	7.73242	-2.20698	11.0902	0	0	yes
Ndst3	Ndst3	Ndst3	chr3:123229083-123375310	SVZ_IZ	VZ	OK	8.03393	1.74546	-2.2025	9.05012	0	0	yes
Sox10	Sox10	Sox10	chr15:78985342-78994920	SVZ_IZ	VZ	OK	0.621585	0.135756	-2.19493	3.53058	0.000414655	0.00126988	yes
Gipr	Gipr	Gipr	chr7:19742473-19751476	SVZ_IZ	VZ	OK	8.57605	1.87312	-2.19487	6.71734	1.85E-11	1.33E-10	yes
Kcnh8	Kcnh8	Kcnh8	chr17:53092465-53121330	SVZ_IZ	VZ	OK	2.44123	0.535918	-2.18753	5.56505	2.62E-08	1.42E-07	yes
Eno4	Eno4	Eno4	chr19:59017914-59045911	SVZ_IZ	VZ	OK	0.782323	0.171884	-2.18633	3.71554	0.00020277	0.000658777	yes
Elmod1	Elmod1	Elmod1	chr9:53759266-53823108	SVZ_IZ	VZ	OK	29.4619	6.49468	-2.18152	10.3035	0	0	yes
Kcnmb2	Kcnmb2	Kcnmb2	chr3:31801624-32099102	SVZ_IZ	VZ	OK	0.634225	0.140483	-2.1746	3.6049	0.000312272	0.000979129	yes
Stk32b	Stk32b	Stk32b	chr5:37838063-38108392	SVZ_IZ	VZ	OK	12.7692	2.83943	-2.16899	9.02406	0	0	yes
Sez6l2	Sez6l2	Sez6l2	chr7:134094048-134114120	SVZ_IZ	VZ	OK	18.8245	4.20291	-2.16315	26.2642	0	0	yes
C77370	C77370	C77370	chrX:101272774-101396456	SVZ_IZ	VZ	OK	3.48849	0.779582	-2.16183	8.82037	0	0	yes
Rps6kl1	Rps6kl1	Rps6kl1	chr12:86476545-86492214	SVZ_IZ	VZ	OK	4.04353	0.913468	-2.14619	5.93652	2.91E-09	1.73E-08	yes
Grid2ip	Grid2ip	Grid2ip	chr5:144119016-144153477	SVZ_IZ	VZ	OK	1.02413	0.231707	-2.14402	4.59043	4.42E-06	1.84E-05	yes
Gm2694	Gm2694	Gm2694	chr8:89996710-90049453	SVZ_IZ	VZ	OK	2.73135	0.621911	-2.13483	3.21428	0.00130772	0.00363545	yes
Dlg2	Dlg2	Dlg2	chr7:98239295-99597756	SVZ_IZ	VZ	OK	6.04174	1.37656	-2.1339	11.0088	0	0	yes
Grm4	Grm4	Grm4	chr17:27559332-27640249	SVZ_IZ	VZ	OK	0.397888	0.0910458	-2.1277	3.07554	0.00210124	0.00559811	yes
Ppfia2	Ppfia2	Ppfia2	chr10:105907365-106370524	SVZ_IZ	VZ	OK	11.8682	2.73922	-2.11526	11.2463	0	0	yes
Bhlhe22	Bhlhe22	Bhlhe22	chr3:17954324-17957514	SVZ_IZ	VZ	OK	86.9431	20.2007	-2.10566	11.9109	0	0	yes
Scn1a	Scn1a	Scn1a	chr2:66108838-66278894	SVZ_IZ	VZ	OK	1.97897	0.460187	-2.10445	6.91961	4.53E-12	3.42E-11	yes
Prdm8	Prdm8	Prdm8	chr5:98609887-98616467	SVZ_IZ	VZ	OK	62.2666	14.5164	-2.10078	11.7025	0	0	yes
Ldb3	Ldb3	Ldb3	chr14:35339884-35401867	SVZ_IZ	VZ	OK	0.52245	0.122222	-2.09578	3.71226	0.000205414	0.000666629	yes
Mak	Mak	Mak	chr13:41120488-41175075	SVZ_IZ	VZ	OK	0.325956	0.0763627	-2.09374	2.85026	0.00436829	0.0108832	yes
Adamts2	Adamts2	Adamts2	chr11:50415586-50617551	SVZ_IZ	VZ	OK	1.36059	0.319385	-2.09086	4.96949	6.71E-07	3.10E-06	yes
Fam49a	Fam49a	Fam49a	chr12:12268944-12399281	SVZ_IZ	VZ	OK	82.6624	19.4132	-2.09019	18.2479	0	0	yes
Slc8a1	Slc8a1	Slc8a1	chr17:81772444-82137717	SVZ_IZ	VZ	OK	3.93963	0.929072	-2.0842	10.84	0	0	yes
Atp1a3	Atp1a3	Atp1a3	chr7:25763187-25790914	SVZ_IZ	VZ	OK	46.4384	10.9944	-2.07854	11.6391	0	0	yes
Stmn2	Stmn2	Stmn2	chr3:8509526-8561604	SVZ_IZ	VZ	OK	187.908	44.5288	-2.07721	12.1014	0	0	yes
Nav3	Nav3	Nav3	chr10:109120494-109437275	SVZ_IZ	VZ	OK	4.98772	1.18422	-2.07444	8.63233	0	0	yes
Plxna4	Plxna4	Plxna4	chr6:32094558-32538192	SVZ_IZ	VZ	OK	29.7627	7.07026	-2.07367	12.6974	0	0	yes
Kcnq2	Kcnq2	Kcnq2	chr2:180810283-180869930	SVZ_IZ	VZ	OK	14.2918	3.40845	-2.068	24.1429	0	0	yes
Cabp1	Cabp1	Cabp1	chr5:115618699-115636130	SVZ_IZ	VZ	OK	43.9879	10.4943	-2.0675	8.76022	0	0	yes
Hs3st5	Hs3st5	Hs3st5	chr10:36226612-36554200	SVZ_IZ	VZ	OK	1.60312	0.383578	-2.06329	5.58032	2.40E-08	1.31E-07	yes
Gm10584	Gm10584	Gm10584	chr7:139427937-139509974	SVZ_IZ	VZ	OK	0.600357	0.144098	-2.05877	3.29973	0.000967765	0.00276516	yes
Gpr12	Gpr12	Gpr12	chr5:147393725-147396815	SVZ_IZ	VZ	OK	1.64929	0.396281	-2.05725	5.20949	1.89E-07	9.35E-07	yes
Nptx1	Nptx1	Nptx1	chr11:119400032-119409134	SVZ_IZ	VZ	OK	8.5307	2.05048	-2.0567	8.78534	0	0	yes
Sstr3	Sstr3	Sstr3	chr15:78367444-78374775	SVZ_IZ	VZ	OK	9.23818	2.22134	-2.05618	8.28022	2.22E-16	2.19E-15	yes
Scn3a	Scn3a	Scn3a	chr2:65295174-65405549	SVZ_IZ	VZ	OK	4.85685	1.17009	-2.0534	8.98289	0	0	yes
Ablim3	Ablim3	Ablim3	chr18:61959046-62071506	SVZ_IZ	VZ	OK	0.894998	0.217593	-2.04025	5.53631	3.09E-08	1.66E-07	yes
Mndal	Mndal	Mndal	chr1:175787350-175810318	SVZ_IZ	VZ	OK	1.7161	0.419727	-2.03161	4.05365	5.04E-05	0.000180535	yes
Sult4a1	Sult4a1	Sult4a1	chr15:83906526-83936184	SVZ_IZ	VZ	OK	25.5638	6.28316	-2.02454	9.00243	0	0	yes
E130008D07Rik	E130008D07Rik	E130008D07Rik	chr17:43282989-43295240	SVZ_IZ	VZ	OK	1.79519	0.442154	-2.02152	5.36224	8.22E-08	4.22E-07	yes
Dok7	Dok7	Dok7	chr5:35399732-35430480	SVZ_IZ	VZ	OK	1.93015	0.47624	-2.01895	4.63528	3.56E-06	1.50E-05	yes
Gabra5	Gabra5	Gabra5	chr7:64642641-64765379	SVZ_IZ	VZ	OK	0.422168	0.104658	-2.01213	2.87822	0.00399923	0.0100371	yes
Ckmt1	Ckmt1	Ckmt1	chr2:121184376-121206676	SVZ_IZ	VZ	OK	2.64138	0.656918	-2.00751	4.41417	1.01E-05	4.03E-05	yes
Sphkap	Sphkap	Sphkap	chr1:83252355-83404775	SVZ_IZ	VZ	OK	0.787264	0.196212	-2.00444	4.77842	1.77E-06	7.74E-06	yes
Chl1	Chl1	Chl1	chr6:103460869-103683029	SVZ_IZ	VZ	OK	27.2878	6.84611	-1.9949	11.5732	0	0	yes
Ntsr1	Ntsr1	Ntsr1	chr2:180234680-180279684	SVZ_IZ	VZ	OK	1.10525	0.279828	-1.98176	4.47971	7.47E-06	3.03E-05	yes
Klhl34	Klhl34	Klhl34	chrX:154256366-154258301	SVZ_IZ	VZ	OK	1.69605	0.429697	-1.98078	4.08298	4.45E-05	0.000160831	yes
Pcdha2	Pcdha2	Pcdha2	chr18:37089938-38001526	SVZ_IZ	VZ	OK	0.430307	0.109202	-1.97837	2.83631	0.00456386	0.0113134	yes
Ano4	Ano4	Ano4	chr10:88411738-88720535	SVZ_IZ	VZ	OK	0.498637	0.126857	-1.97478	3.57913	0.000344736	0.00107099	yes
Inhba	Inhba	Inhba	chr13:16106307-16119044	SVZ_IZ	VZ	OK	0.962803	0.245096	-1.97389	3.05012	0.00228754	0.00604681	yes
Nmnat2	Nmnat2	Nmnat2	chr1:154802230-154966391	SVZ_IZ	VZ	OK	19.5754	4.98812	-1.97247	9.7495	0	0	yes
Rhov	Rhov	Rhov	chr2:119094936-119096962	SVZ_IZ	VZ	OK	3.08451	0.787099	-1.97042	4.65842	3.19E-06	1.35E-05	yes
Edil3	Edil3	Edil3	chr13:88961076-89462830	SVZ_IZ	VZ	OK	11.6575	2.98507	-1.96542	12.6942	0	0	yes
Robo2	Robo2	Robo2	chr16:73892550-74411157	SVZ_IZ	VZ	OK	60.1265	15.417	-1.96348	12.1949	0	0	yes
Amer3	Amer3	Amer3	chr1:34636537-34647789	SVZ_IZ	VZ	OK	4.67033	1.19984	-1.96068	6.74	1.58E-11	1.15E-10	yes
Nr4a3	Nr4a3	Nr4a3	chr4:48064119-48096224	SVZ_IZ	VZ	OK	1.86331	0.478881	-1.96013	4.09484	4.22E-05	0.000153236	yes
Chgb	Chgb	Chgb	chr2:132607013-132620808	SVZ_IZ	VZ	OK	10.9901	2.82841	-1.95814	7.54422	4.55E-14	3.93E-13	yes
Ccser1	Ccser1	Ccser1	chr6:61125597-62332857	SVZ_IZ	VZ	OK	10.7729	2.77446	-1.95712	13.386	0	0	yes
Kcna2	Kcna2	Kcna2	chr3:106904484-106917923	SVZ_IZ	VZ	OK	0.861362	0.222772	-1.95105	5.80801	6.32E-09	3.64E-08	yes
Lrrc7	Lrrc7	Lrrc7	chr3:157747402-158225185	SVZ_IZ	VZ	OK	1.10654	0.287828	-1.94277	5.08154	3.74E-07	1.78E-06	yes
Cnr1	Cnr1	Cnr1	chr4:34011606-34035806	SVZ_IZ	VZ	OK	27.1214	7.07385	-1.93886	10.7835	0	0	yes
Nrp1	Nrp1	Nrp1	chr8:130882972-131029375	SVZ_IZ	VZ	OK	86.4729	22.5555	-1.93877	11.6974	0	0	yes
Unc79	Unc79	Unc79	chr12:104187068-104422207	SVZ_IZ	VZ	OK	5.16454	1.36012	-1.92491	8.47695	0	0	yes
Gabrb2	Gabrb2	Gabrb2	chr11:42233258-42446093	SVZ_IZ	VZ	OK	1.02238	0.269844	-1.92173	5.3088	1.10E-07	5.59E-07	yes
Fam84a	Fam84a	Fam84a	chr12:14154403-14158844	SVZ_IZ	VZ	OK	43.159	11.4774	-1.91086	10.5719	0	0	yes
Actl6b	Actl6b	Actl6b	chr5:137994782-138010801	SVZ_IZ	VZ	OK	49.755	13.2379	-1.91017	9.13297	0	0	yes
Hivep2	Hivep2	Hivep2	chr10:13686184-13871184	SVZ_IZ	VZ	OK	6.37053	1.69524	-1.90993	9.16117	0	0	yes
Wbscr17	Wbscr17	Wbscr17	chr5:131350820-131783392	SVZ_IZ	VZ	OK	15.7914	4.20922	-1.90752	9.08029	0	0	yes
Tub	Tub	Tub	chr7:116154393-116226838	SVZ_IZ	VZ	OK	21.3526	5.74835	-1.89319	10.4494	0	0	yes
A230057D06Rik	A230057D06Rik	A230057D06Rik	chr7:68850735-69072460	SVZ_IZ	VZ	OK	2.12139	0.572528	-1.88959	4.31591	1.59E-05	6.14E-05	yes
Tle2	Tle2	Tle2	chr10:81038031-81053590	SVZ_IZ	VZ	OK	4.56292	1.23357	-1.88712	6.5314	6.52E-11	4.50E-10	yes
Lrrtm3	Lrrtm3	Lrrtm3	chr10:62892845-64466415	SVZ_IZ	VZ	OK	0.927108	0.250849	-1.88592	4.15306	3.28E-05	0.000121044	yes
Calb2	Calb2	Calb2	chr8:112666437-112692106	SVZ_IZ	VZ	OK	6.16073	1.66987	-1.88337	5.14134	2.73E-07	1.32E-06	yes
L1cam	L1cam	L1cam	chrX:71099118-71126173	SVZ_IZ	VZ	OK	33.7875	9.16209	-1.88274	10.7705	0	0	yes
A930011O12Rik	A930011O12Rik	A930011O12Rik	chr14:65206951-65212798	SVZ_IZ	VZ	OK	30.4934	8.28102	-1.88062	10.1927	0	0	yes
Slc1a1	Slc1a1	Slc1a1	chr19:28909655-28988450	SVZ_IZ	VZ	OK	4.06066	1.10386	-1.87915	6.2068	5.41E-10	3.45E-09	yes
Scn3b	Scn3b	Scn3b	chr9:40076800-40099203	SVZ_IZ	VZ	OK	9.01462	2.45192	-1.87836	10.682	0	0	yes
Pcdha6	Pcdha6	Pcdha6	chr18:37089938-38001526	SVZ_IZ	VZ	OK	0.535004	0.145645	-1.87709	2.98372	0.00284768	0.00738463	yes
Asphd1	Asphd1	Asphd1	chr7:134089521-134093095	SVZ_IZ	VZ	OK	7.59672	2.07674	-1.87105	3.56194	0.000368118	0.00113834	yes
Tiam2	Tiam2	Tiam2	chr17:3326572-3557713	SVZ_IZ	VZ	OK	63.6124	17.3967	-1.87049	11.7853	0	0	yes
Ptpn5	Ptpn5	Ptpn5	chr7:54333169-54389054	SVZ_IZ	VZ	OK	9.80476	2.68528	-1.86841	7.49987	6.39E-14	5.45E-13	yes
Arhgap15	Arhgap15	Arhgap15	chr2:43604343-44243143	SVZ_IZ	VZ	OK	0.557951	0.153191	-1.86481	3.00257	0.00267715	0.0069749	yes
Scn2a1	Scn2a1	Scn2a1	chr2:65508501-65605504	SVZ_IZ	VZ	OK	0.887278	0.244243	-1.86107	5.16622	2.39E-07	1.16E-06	yes
Ptprn2	Ptprn2	Ptprn2	chr12:117724192-118575485	SVZ_IZ	VZ	OK	2.08541	0.574195	-1.86072	5.43111	5.60E-08	2.93E-07	yes
Pdgfra	Pdgfra	Pdgfra	chr5:75548315-75594229	SVZ_IZ	VZ	OK	0.963862	0.265731	-1.85886	4.84912	1.24E-06	5.54E-06	yes
Ripply2	Ripply2	Ripply2	chr9:86910371-86914751	SVZ_IZ	VZ	OK	2.02493	0.558335	-1.85867	2.27258	0.0230514	0.0476216	yes
Ank3	Ank3	Ank3	chr10:68996455-69490184	SVZ_IZ	VZ	OK	25.4277	7.02258	-1.85633	22.5584	0	0	yes
B230216G23Rik	B230216G23Rik	B230216G23Rik	chr6:142361950-142368260	SVZ_IZ	VZ	OK	0.671303	0.185582	-1.85491	2.58616	0.00970508	0.0222208	yes
Svop	Svop	Svop	chr5:114476921-114541389	SVZ_IZ	VZ	OK	24.1621	6.68138	-1.85453	9.02118	0	0	yes
Sema6b	Sema6b	Sema6b	chr17:56262507-56279766	SVZ_IZ	VZ	OK	7.6245	2.11809	-1.84788	8.05486	8.88E-16	8.53E-15	yes
Rab3c	Rab3c	Rab3c	chr13:110844395-111070414	SVZ_IZ	VZ	OK	22.0834	6.14315	-1.84591	10.5907	0	0	yes
Zbtb8b	Zbtb8b	Zbtb8b	chr4:129103008-129118062	SVZ_IZ	VZ	OK	0.589193	0.164102	-1.84414	3.29766	0.000974928	0.00278277	yes
Dnajc6	Dnajc6	Dnajc6	chr4:101169252-101315404	SVZ_IZ	VZ	OK	6.30014	1.75594	-1.84314	18.077	0	0	yes
Hivep3	Hivep3	Hivep3	chr4:119487282-119808016	SVZ_IZ	VZ	OK	0.865938	0.241624	-1.8415	5.19742	2.02E-07	9.94E-07	yes
Sla	Sla	Sla	chr15:66502331-66682282	SVZ_IZ	VZ	OK	5.87881	1.64289	-1.83929	6.88991	5.58E-12	4.18E-11	yes
Cygb	Cygb	Cygb	chr11:116506908-116515627	SVZ_IZ	VZ	OK	9.14368	2.55699	-1.83833	6.50399	7.82E-11	5.36E-10	yes
Epb4.9	Epb4.9	Epb4.9	chr14:71001990-71035855	SVZ_IZ	VZ	OK	0.524789	0.14681	-1.83779	4.28471	1.83E-05	7.02E-05	yes
Bcl11b	Bcl11b	Bcl11b	chr12:109148612-109241624	SVZ_IZ	VZ	OK	36.8464	10.33	-1.83469	13.6904	0	0	yes
Shisa7	Shisa7	Shisa7	chr7:4777153-4796298	SVZ_IZ	VZ	OK	5.83611	1.641	-1.83043	7.6007	2.95E-14	2.58E-13	yes
Ica1	Ica1	Ica1	chr6:8580526-8728484	SVZ_IZ	VZ	OK	9.53467	2.68239	-1.82967	10.3427	0	0	yes
6330409D20Rik	6330409D20Rik	6330409D20Rik	chr2:32576574-32610527	SVZ_IZ	VZ	OK	1.66416	0.469832	-1.82458	3.11029	0.00186904	0.00503349	yes
Gm5468	Gm5468	Gm5468	chr15:25343946-25382173	SVZ_IZ	VZ	OK	1.29468	0.368244	-1.81386	4.04517	5.23E-05	0.000186601	yes
Sgip1	Sgip1	Sgip1	chr4:102432967-102684570	SVZ_IZ	VZ	OK	7.08902	2.01924	-1.81177	6.97207	3.12E-12	2.39E-11	yes
