test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
D030056L22Rik	D030056L22Rik	D030056L22Rik	chr19:18787725-18792918	CP	VZ	OK	41.9778	84.2286	1.00468	-7.26893	3.62E-13	2.94E-12	yes
Fam120aos	Fam120aos	Fam120aos	chr13:49063480-49065274	CP	VZ	OK	10.3738	20.8206	1.00506	-5.53128	3.18E-08	1.71E-07	yes
Selenbp1	Selenbp1	Selenbp1	chr3:94737004-94748680	SVZ_IZ	VZ	OK	2.46949	4.95648	1.0051	-3.03075	0.00243948	0.0064109	yes
C1qtnf6	C1qtnf6	C1qtnf6	chr15:78353775-78360081	CP	VZ	OK	2.39416	4.80619	1.00538	-7.09952	1.25E-12	9.81E-12	yes
Gtpbp10	Gtpbp10	Gtpbp10	chr5:5537456-5559501	CP	VZ	OK	7.44119	14.9428	1.00584	-6.12869	8.86E-10	5.53E-09	yes
Irs2	Irs2	Irs2	chr8:10986963-11054541	CP	VZ	OK	2.64522	5.31227	1.00594	-5.10048	3.39E-07	1.62E-06	yes
Kbtbd8	Kbtbd8	Kbtbd8	chr6:95067899-95079781	CP	VZ	OK	1.96079	3.93815	1.00609	-9.6178	0	0	yes
Pola1	Pola1	Pola1	chrX:90550104-90877494	SVZ_IZ	VZ	OK	5.68733	11.4236	1.00619	-5.08077	3.76E-07	1.79E-06	yes
Cmtm7	Cmtm7	Cmtm7	chr9:114665953-114691111	CP	VZ	OK	4.80408	9.65024	1.00631	-4.45976	8.21E-06	3.30E-05	yes
Skida1	Skida1	Skida1	chr2:17965713-17970076	CP	VZ	OK	9.05983	18.2	1.00638	-6.90916	4.88E-12	3.67E-11	yes
Eda	Eda	Eda	chrX:97170944-97596099	SVZ_IZ	VZ	OK	0.753172	1.51326	1.00661	-3.50142	0.000462789	0.00140488	yes
Rnf169	Rnf169	Rnf169	chr7:107068764-107128968	CP	VZ	OK	2.87527	5.77707	1.00664	-6.10754	1.01E-09	6.29E-09	yes
Chd7	Chd7	Chd7	chr4:8618067-8793956	SVZ_IZ	VZ	OK	6.52379	13.1092	1.0068	-5.56073	2.69E-08	1.46E-07	yes
Fam162a	Fam162a	Fam162a	chr16:36043929-36071601	CP	VZ	OK	84.568	169.958	1.007	-6.88479	5.79E-12	4.33E-11	yes
Polr2a	Polr2a	Polr2a	chr11:69547911-69571725	CP	VZ	OK	17.9778	36.1304	1.007	-7.34156	2.11E-13	1.74E-12	yes
Cit	Cit	Cit	chr5:116295664-116456350	SVZ_IZ	VZ	OK	1.56824	3.15234	1.00728	-3.99627	6.43E-05	0.00022678	yes
Gbas	Gbas	Gbas	chr5:130230949-130264201	CP	VZ	OK	27.1934	54.6711	1.00752	-7.15443	8.40E-13	6.66E-12	yes
Pcx	Pcx	Pcx	chr19:4510471-4621752	CP	VZ	OK	5.38286	10.8227	1.00762	-6.46368	1.02E-10	6.94E-10	yes
Smarca5	Smarca5	Smarca5	chr8:83223842-83263358	CP	VZ	OK	28.3098	56.92	1.00763	-7.47296	7.84E-14	6.65E-13	yes
Med12l	Med12l	Med12l	chr3:58810899-59148178	SVZ_IZ	VZ	OK	0.964522	1.9402	1.00832	-3.89347	9.88E-05	0.000337586	yes
B3galtl	B3galtl	B3galtl	chr5:150480831-150565174	CP	VZ	OK	9.21236	18.5343	1.00855	-6.95725	3.47E-12	2.64E-11	yes
Cyp20a1	Cyp20a1	Cyp20a1	chr1:60400215-60444231	CP	VZ	OK	7.71463	15.5231	1.00875	-5.15605	2.52E-07	1.23E-06	yes
Qk	Qk	Qk	chr17:10399335-10512226	SVZ_IZ	VZ	OK	62.4155	125.622	1.00911	-9.59646	0	0	yes
Stk17b	Stk17b	Stk17b	chr1:53812355-53842059	SVZ_IZ	VZ	OK	2.18137	4.39257	1.00983	-3.60784	0.000308759	0.000969056	yes
Casp7	Casp7	Casp7	chr19:56471618-56516833	SVZ_IZ	VZ	OK	3.70169	7.45413	1.00986	-3.78021	0.000156698	0.000518206	yes
Sapcd2	Sapcd2	Sapcd2	chr2:25227840-25233733	SVZ_IZ	VZ	OK	8.63273	17.3852	1.00997	-4.95251	7.33E-07	3.36E-06	yes
Tbc1d1	Tbc1d1	Tbc1d1	chr5:64551449-64742725	CP	VZ	OK	5.85189	11.7855	1.01004	-6.70493	2.01E-11	1.45E-10	yes
Tmem164	Tmem164	Tmem164	chrX:139115942-139278037	CP	VZ	OK	7.54672	15.1999	1.01014	-7.33028	2.30E-13	1.88E-12	yes
Boc	Boc	Boc	chr16:44485157-44558983	SVZ_IZ	VZ	OK	11.91	23.9928	1.01043	-5.55036	2.85E-08	1.54E-07	yes
Mcm10	Mcm10	Mcm10	chr2:4911769-4933837	SVZ_IZ	VZ	OK	6.55316	13.202	1.0105	-4.78398	1.72E-06	7.54E-06	yes
Btbd7	Btbd7	Btbd7	chr12:104022857-104116616	CP	VZ	OK	4.53675	9.14182	1.01082	-6.03356	1.60E-09	9.77E-09	yes
Elovl1	Elovl1	Elovl1	chr4:118100697-118109948	CP	VZ	OK	2.92947	5.90336	1.0109	-4.36728	1.26E-05	4.94E-05	yes
Lrrc8c	Lrrc8c	Lrrc8c	chr5:105948489-106037973	SVZ_IZ	VZ	OK	1.86081	3.74993	1.01094	-3.28208	0.00103044	0.00292628	yes
Dcp2	Dcp2	Dcp2	chr18:44540153-44584623	CP	VZ	OK	6.19369	12.4838	1.01119	-7.08525	1.39E-12	1.08E-11	yes
Pycr2	Pycr2	Pycr2	chr1:182834404-182838219	CP	VZ	OK	21.3399	43.0181	1.01139	-6.68764	2.27E-11	1.62E-10	yes
Slc35b2	Slc35b2	Slc35b2	chr17:45701100-45704618	CP	VZ	OK	15.6285	31.5199	1.01208	-6.70377	2.03E-11	1.46E-10	yes
Phkb	Phkb	Phkb	chr8:88364900-88584541	CP	VZ	OK	4.78949	9.66166	1.0124	-6.23037	4.65E-10	2.99E-09	yes
Cdc14b	Cdc14b	Cdc14b	chr13:64293852-64376296	CP	VZ	OK	0.708191	1.42886	1.01266	-6.5878	4.46E-11	3.13E-10	yes
Taf8	Taf8	Taf8	chr17:47624998-47639236	CP	VZ	OK	6.77456	13.6702	1.01283	-6.003	1.94E-09	1.17E-08	yes
Tead2	Tead2	Tead2	chr7:52471122-52488989	SVZ_IZ	VZ	OK	105.88	213.655	1.01285	-6.1522	7.64E-10	4.81E-09	yes
Stc1	Stc1	Stc1	chr14:69647345-69659458	CP	VZ	OK	0.961593	1.94046	1.0129	-3.70227	0.000213678	0.000691062	yes
Nr2f6	Nr2f6	Nr2f6	chr8:73898017-73905851	CP	VZ	OK	9.71438	19.6086	1.01329	-6.1157	9.61E-10	5.99E-09	yes
Pif1	Pif1	Pif1	chr9:65435011-65443769	SVZ_IZ	VZ	OK	4.41466	8.91137	1.01335	-4.47024	7.81E-06	3.16E-05	yes
Msrb2	Msrb2	Msrb2	chr2:19293262-19316597	SVZ_IZ	VZ	OK	4.45539	8.9937	1.01336	-3.23296	0.00122517	0.00342663	yes
Pprc1	Pprc1	Pprc1	chr19:46131028-46147399	CP	VZ	OK	5.04845	10.193	1.01367	-6.4404	1.19E-10	8.03E-10	yes
Nr1h2	Nr1h2	Nr1h2	chr7:51805002-51809293	CP	VZ	OK	17.1053	34.5377	1.01373	-6.70261	2.05E-11	1.47E-10	yes
Nhej1	Nhej1	Nhej1	chr1:75013919-75121800	SVZ_IZ	VZ	OK	3.10521	6.27152	1.01413	-2.72414	0.00644683	0.0154181	yes
Eps8l1	Eps8l1	Eps8l1	chr7:4416343-4430844	SVZ_IZ	VZ	OK	1.31781	2.66162	1.01416	-2.97317	0.00294737	0.0076196	yes
Usp37	Usp37	Usp37	chr1:74455957-74634602	CP	VZ	OK	6.00605	12.1327	1.01441	-7.02801	2.09E-12	1.62E-11	yes
Pkmyt1	Pkmyt1	Pkmyt1	chr17:23863302-23877297	SVZ_IZ	VZ	OK	6.79084	13.718	1.01441	-4.23132	2.32E-05	8.77E-05	yes
Msrb3	Msrb3	Msrb3	chr10:120218156-120336027	SVZ_IZ	VZ	OK	1.93492	3.90888	1.01448	-3.63634	0.000276538	0.00087652	yes
Ctnnal1	Ctnnal1	Ctnnal1	chr4:56823806-56878083	SVZ_IZ	VZ	OK	3.91019	7.89938	1.0145	-4.37069	1.24E-05	4.87E-05	yes
Slc16a6	Slc16a6	Slc16a6	chr11:109301391-109434643	SVZ_IZ	VZ	OK	1.67382	3.38157	1.01455	-4.04549	5.22E-05	0.00018638	yes
Ska3	Ska3	Ska3	chr14:58425397-58445000	SVZ_IZ	VZ	OK	8.95395	18.092	1.01476	-4.66618	3.07E-06	1.30E-05	yes
Mdfi	Mdfi	Mdfi	chr17:47952276-47971640	SVZ_IZ	VZ	OK	4.12762	8.34262	1.01519	-5.45879	4.79E-08	2.53E-07	yes
Sephs1	Sephs1	Sephs1	chr2:4802609-4831602	CP	VZ	OK	22.9849	46.4565	1.0152	-7.55123	4.31E-14	3.73E-13	yes
Mcm5	Mcm5	Mcm5	chr8:77633426-77652338	SVZ_IZ	VZ	OK	32.894	66.4876	1.01526	-6.06392	1.33E-09	8.16E-09	yes
Fahd1	Fahd1	Fahd1	chr17:24985840-24987247	CP	VZ	OK	7.99679	16.1639	1.01528	-5.13333	2.85E-07	1.38E-06	yes
Csf1	Csf1	Csf1	chr3:107543965-107563387	CP	VZ	OK	2.07763	4.2	1.01545	-6.87488	6.20E-12	4.62E-11	yes
Slc16a3	Slc16a3	Slc16a3	chr11:120809797-120820314	SVZ_IZ	VZ	OK	1.2439	2.51692	1.01679	-3.79266	0.000149039	0.000494632	yes
Rangrf	Rangrf	Rangrf	chr11:68781632-68787322	CP	VZ	OK	22.8706	46.2799	1.01689	-5.63477	1.75E-08	9.67E-08	yes
Fuz	Fuz	Fuz	chr7:52151448-52184860	SVZ_IZ	VZ	OK	6.40205	12.9554	1.01694	-3.93931	8.17E-05	0.000283137	yes
Zfp36l2	Zfp36l2	Zfp36l2	chr17:84583268-84587287	SVZ_IZ	VZ	OK	6.20106	12.5489	1.01698	-4.76369	1.90E-06	8.29E-06	yes
Tti1	Tti1	Tti1	chr2:157807538-157835096	CP	VZ	OK	5.10189	10.327	1.01732	-6.06295	1.34E-09	8.20E-09	yes
Pkn3	Pkn3	Pkn3	chr2:29934285-29949155	SVZ_IZ	VZ	OK	1.61818	3.27561	1.01739	-3.28686	0.0010131	0.00288172	yes
Txndc5	Txndc5	Txndc5	chr13:38592143-38620329	CP	VZ	OK	16.1365	32.6679	1.01754	-7.00335	2.50E-12	1.92E-11	yes
Siva1	Siva1	Siva1	chr12:113883038-113887363	SVZ_IZ	VZ	OK	54.6192	110.593	1.01778	-5.59869	2.16E-08	1.18E-07	yes
Cdca8	Cdca8	Cdca8	chr4:124595708-124614161	SVZ_IZ	VZ	OK	53.0097	107.346	1.01794	-5.95211	2.65E-09	1.58E-08	yes
Nup50	Nup50	Nup50	chr15:84753857-84773393	CP	VZ	OK	13.5801	27.5148	1.01871	-7.33052	2.29E-13	1.88E-12	yes
Exo1	Exo1	Exo1	chr1:177810908-177841527	SVZ_IZ	VZ	OK	3.74728	7.59276	1.01878	-4.74113	2.13E-06	9.22E-06	yes
Dnd1	Dnd1	Dnd1	chr18:36919892-36925868	CP	VZ	OK	0.854353	1.73121	1.01887	-2.48072	0.0131117	0.0290018	yes
Car14	Car14	Car14	chr3:95697843-95708562	SVZ_IZ	VZ	OK	6.21513	12.594	1.01888	-3.90564	9.40E-05	0.000322448	yes
Sema5a	Sema5a	Sema5a	chr15:32174567-32626096	SVZ_IZ	VZ	OK	12.3996	25.1266	1.01892	-6.02363	1.71E-09	1.04E-08	yes
Casc5	Casc5	Casc5	chr2:118872854-118929857	SVZ_IZ	VZ	OK	3.60585	7.30703	1.01894	-4.88642	1.03E-06	4.63E-06	yes
Sil1	Sil1	Sil1	chr18:35426049-35658579	CP	VZ	OK	6.30553	12.7807	1.01927	-5.13027	2.89E-07	1.40E-06	yes
Srsf6	Srsf6	Srsf6	chr2:162757243-162762856	CP	VZ	OK	65.1231	132.004	1.01934	-7.40487	1.31E-13	1.10E-12	yes
Peg10	Peg10	Peg10	chr6:4697305-4710516	SVZ_IZ	VZ	OK	4.82144	9.78111	1.02054	-5.12888	2.91E-07	1.41E-06	yes
Leng1	Leng1	Leng1	chr7:3596870-3629155	CP	VZ	OK	6.42319	13.0319	1.02068	-5.48876	4.05E-08	2.15E-07	yes
Samd4	Samd4	Samd4	chr14:47502639-47725492	SVZ_IZ	VZ	OK	3.00758	6.10235	1.02076	-6.5716	4.98E-11	3.47E-10	yes
Cpxm2	Cpxm2	Cpxm2	chr7:139234492-139346424	SVZ_IZ	VZ	OK	0.70752	1.43556	1.02077	-2.68267	0.00730361	0.0172537	yes
Dsn1	Dsn1	Dsn1	chr2:156820797-156832811	SVZ_IZ	VZ	OK	9.89844	20.0864	1.02094	-4.78893	1.68E-06	7.36E-06	yes
Pds5a	Pds5a	Pds5a	chr5:66006498-66089095	CP	VZ	OK	10.551	21.4164	1.02134	-7.01512	2.30E-12	1.77E-11	yes
Cdkn3	Cdkn3	Cdkn3	chr14:47380215-47391200	SVZ_IZ	VZ	OK	10.8332	21.9922	1.02153	-3.53755	0.000403852	0.00123959	yes
Bckdha	Bckdha	Bckdha	chr7:26414870-26443780	CP	VZ	OK	23.5686	47.85	1.02165	-7.01022	2.38E-12	1.83E-11	yes
Nup133	Nup133	Nup133	chr8:126421022-126473165	CP	VZ	OK	7.64331	15.5196	1.02182	-7.10489	1.20E-12	9.44E-12	yes
Gart	Gart	Gart	chr16:91621641-91647217	CP	VZ	OK	19.1207	38.8287	1.02198	-7.36698	1.75E-13	1.44E-12	yes
Derl1	Derl1	Derl1	chr15:57701056-57723973	CP	VZ	OK	10.3884	21.098	1.02213	-6.80562	1.01E-11	7.39E-11	yes
Ldlrap1	Ldlrap1	Ldlrap1	chr4:134301326-134323919	SVZ_IZ	VZ	OK	0.689641	1.40073	1.02226	-2.50826	0.0121328	0.0270755	yes
Acad10	Acad10	Acad10	chr5:122071037-122110519	CP	VZ	OK	0.310709	0.631131	1.02238	-2.45061	0.0142614	0.031227	yes
B3galnt2	B3galnt2	B3galnt2	chr13:14046940-14131867	CP	VZ	OK	5.44266	11.0567	1.02254	-6.12005	9.35E-10	5.83E-09	yes
Ddx11	Ddx11	Ddx11	chr17:66472859-66501508	SVZ_IZ	VZ	OK	3.48977	7.08949	1.02255	-4.35451	1.33E-05	5.22E-05	yes
Gm14420	Gm14420	Gm14420	chr2:177249446-177263899	CP	VZ	OK	2.53361	5.14812	1.02285	-5.3979	6.74E-08	3.50E-07	yes
Gm5069	Gm5069	Gm5069	chr1:182257099-182353790	CP	VZ	OK	5.69903	11.5809	1.02296	-6.17054	6.81E-10	4.30E-09	yes
Mpv17	Mpv17	Mpv17	chr5:31443033-31456615	CP	VZ	OK	13.3552	27.1445	1.02326	-6.27378	3.52E-10	2.29E-09	yes
Rmi2	Rmi2	Rmi2	chr16:10835151-10843328	SVZ_IZ	VZ	OK	3.47482	7.06309	1.02336	-4.25116	2.13E-05	8.07E-05	yes
Lrwd1	Lrwd1	Lrwd1	chr5:136598935-136611944	CP	VZ	OK	12.6098	25.6335	1.02348	-6.54065	6.13E-11	4.24E-10	yes
Ccnf	Ccnf	Ccnf	chr17:24360176-24388354	SVZ_IZ	VZ	OK	14.4309	29.3401	1.02371	-5.51632	3.46E-08	1.85E-07	yes
Timm44	Timm44	Timm44	chr8:4259730-4275905	CP	VZ	OK	18.3552	37.341	1.02457	-6.74875	1.49E-11	1.08E-10	yes
E2f6	E2f6	E2f6	chr12:16817770-16833558	CP	VZ	OK	9.97889	20.3097	1.02522	-10.1448	0	0	yes
Tnpo1	Tnpo1	Tnpo1	chr13:99612035-99696339	CP	VZ	OK	13.1482	26.761	1.02527	-8.62643	0	0	yes
Fam129c	Fam129c	Fam129c	chr8:74121544-74132048	SVZ_IZ	VZ	OK	0.639937	1.30264	1.02544	-2.38138	0.0172478	0.0369295	yes
Nhej1	Nhej1	Nhej1	chr1:75013919-75121800	CP	VZ	OK	3.08069	6.27152	1.02556	-3.26074	0.00111121	0.00313515	yes
Zmat3	Zmat3	Zmat3	chr3:32233715-32266360	CP	VZ	OK	5.20611	10.5994	1.0257	-7.00225	2.52E-12	1.94E-11	yes
Rps27	Rps27	Rps27	chr3:90016588-90017570	CP	VZ	OK	84.5822	172.231	1.02592	-4.80072	1.58E-06	6.96E-06	yes
Eefsec	Eefsec	Eefsec	chr6:88207327-88396533	CP	VZ	OK	7.03901	14.3381	1.02641	-6.07682	1.23E-09	7.56E-09	yes
Cklf	Cklf	Cklf	chr8:106774802-106788836	CP	VZ	OK	4.17006	8.49457	1.02647	-3.17979	0.00147384	0.00405243	yes
Mapk12	Mapk12	Mapk12	chr15:88961013-88971133	SVZ_IZ	VZ	OK	3.48772	7.10462	1.02647	-3.52883	0.000417395	0.00127715	yes
Hebp1	Hebp1	Hebp1	chr6:135087536-135118233	CP	VZ	OK	1.25487	2.55654	1.02665	-2.47763	0.0132259	0.0292404	yes
Nup43	Nup43	Nup43	chr10:7387301-7398684	CP	VZ	OK	12.6108	25.6932	1.02673	-5.73103	9.98E-09	5.63E-08	yes
Sybu	Sybu	Sybu	chr15:44503402-44637375	SVZ_IZ	VZ	OK	4.54426	9.25849	1.02673	-7.53541	4.86E-14	4.18E-13	yes
Cul1	Cul1	Cul1	chr6:47404322-47476138	CP	VZ	OK	57.3065	116.78	1.02702	-7.59162	3.15E-14	2.76E-13	yes
Kazn	Kazn	Kazn	chr4:141658304-141795316	SVZ_IZ	VZ	OK	6.95825	14.1808	1.02715	-6.09929	1.07E-09	6.61E-09	yes
Sox13	Sox13	Sox13	chr1:135278876-135320789	SVZ_IZ	VZ	OK	4.44667	9.06352	1.02735	-4.35396	1.34E-05	5.23E-05	yes
Ncaph	Ncaph	Ncaph	chr2:126929545-126959690	SVZ_IZ	VZ	OK	22.1154	45.0827	1.02752	-5.77867	7.53E-09	4.30E-08	yes
Dancr	Dancr	Dancr	chr5:74489107-74490361	CP	VZ	OK	4.89008	9.97056	1.02782	-3.98665	6.70E-05	0.000235538	yes
Myh14	Myh14	Myh14	chr7:51861172-51926213	CP	VZ	OK	0.350806	0.715378	1.02803	-3.22588	0.00125588	0.00350295	yes
Akr1b3	Akr1b3	Akr1b3	chr6:34253929-34267489	CP	VZ	OK	2.84926	5.81057	1.02809	-3.03482	0.00240682	0.00633061	yes
Fgd6	Fgd6	Fgd6	chr10:93498745-93608084	SVZ_IZ	VZ	OK	0.618899	1.26251	1.02852	-3.39357	0.00068989	0.00203125	yes
2610015P09Rik	2610015P09Rik	2610015P09Rik	chr16:43890014-43964427	CP	VZ	OK	1.42199	2.90115	1.02871	-4.22495	2.39E-05	9.00E-05	yes
Ebf3	Ebf3	Ebf3	chr7:144385353-144506128	SVZ_IZ	VZ	OK	0.605323	1.23521	1.02898	-3.72653	0.000194132	0.000632577	yes
Stat5b	Stat5b	Stat5b	chr11:100642044-100711899	SVZ_IZ	VZ	OK	2.97075	6.06204	1.02898	-4.38887	1.14E-05	4.50E-05	yes
Slc20a2	Slc20a2	Slc20a2	chr8:23573085-23680088	CP	VZ	OK	4.50439	9.19264	1.02915	-5.91264	3.37E-09	1.99E-08	yes
Osgep	Osgep	Osgep	chr14:51535048-51544568	CP	VZ	OK	25.0741	51.1785	1.02934	-7.0072	2.43E-12	1.87E-11	yes
Rbpj	Rbpj	Rbpj	chr5:53947017-54048684	CP	VZ	OK	22.0168	44.9452	1.02956	-8.23952	2.22E-16	2.19E-15	yes
Tpi1	Tpi1	Tpi1	chr6:124758958-124764314	CP	VZ	OK	122.048	249.203	1.02987	-7.60543	2.84E-14	2.49E-13	yes
Dnajc27	Dnajc27	Dnajc27	chr12:4082573-4110612	CP	VZ	OK	2.44769	4.99813	1.02997	-5.41273	6.21E-08	3.23E-07	yes
Sstr1	Sstr1	Sstr1	chr12:59312790-59317023	CP	VZ	OK	0.96624	1.97311	1.03002	-3.82167	0.000132551	0.000444305	yes
Lypla1	Lypla1	Lypla1	chr1:4797973-4836816	CP	VZ	OK	11.633	23.7717	1.03102	-6.60565	3.96E-11	2.78E-10	yes
Nadsyn1	Nadsyn1	Nadsyn1	chr7:150981498-151008746	CP	VZ	OK	1.14538	2.34069	1.03111	-3.5353	0.000407318	0.00124898	yes
Suz12	Suz12	Suz12	chr11:79806607-79847625	CP	VZ	OK	20.6952	42.3028	1.03146	-11.2495	0	0	yes
E2f5	E2f5	E2f5	chr3:14578670-14611256	SVZ_IZ	VZ	OK	15.8535	32.4156	1.03188	-5.06168	4.16E-07	1.97E-06	yes
Rela	Rela	Rela	chr19:5637489-5648130	CP	VZ	OK	11.6987	23.9224	1.03201	-6.80122	1.04E-11	7.62E-11	yes
Parp2	Parp2	Parp2	chr14:51427620-51440975	CP	VZ	OK	14.6237	29.9048	1.03206	-6.50565	7.74E-11	5.30E-10	yes
Gm3893	Gm3893	Gm3893	chr4:41763293-42104673	SVZ_IZ	VZ	OK	5.11738	10.4653	1.03213	-4.6946	2.67E-06	1.14E-05	yes
2610316D01Rik	2610316D01Rik	2610316D01Rik	chr3:45084360-45182182	SVZ_IZ	VZ	OK	5.40223	11.0481	1.03217	-3.21045	0.00132528	0.00367916	yes
Tcof1	Tcof1	Tcof1	chr18:60973409-61008618	CP	VZ	OK	10.396	21.2635	1.03235	-13.6213	0	0	yes
Arhgef10	Arhgef10	Arhgef10	chr8:14911716-15001085	SVZ_IZ	VZ	OK	2.13135	4.36031	1.03266	-8.62649	0	0	yes
Slc25a37	Slc25a37	Slc25a37	chr14:69859907-69903160	CP	VZ	OK	2.74665	5.61983	1.03285	-5.40838	6.36E-08	3.31E-07	yes
Rcor2	Rcor2	Rcor2	chr19:7344253-7349715	CP	VZ	OK	73.9735	151.401	1.03329	-7.72139	1.15E-14	1.04E-13	yes
Gfer	Gfer	Gfer	chr17:24830135-24833101	CP	VZ	OK	12.7394	26.0769	1.03347	-6.32776	2.49E-10	1.63E-09	yes
Slco3a1	Slco3a1	Slco3a1	chr7:81420303-81699666	SVZ_IZ	VZ	OK	2.57402	5.2715	1.03419	-5.41515	6.12E-08	3.19E-07	yes
Tfcp2	Tfcp2	Tfcp2	chr15:100333226-100382378	CP	VZ	OK	5.66838	11.6143	1.03489	-6.08913	1.14E-09	7.02E-09	yes
Dock10	Dock10	Dock10	chr1:80497647-80755128	CP	VZ	OK	0.191872	0.39331	1.03552	-2.75307	0.00590386	0.0142438	yes
Ormdl2	Ormdl2	Ormdl2	chr10:128242731-128258687	SVZ_IZ	VZ	OK	6.09019	12.4867	1.03583	-4.05139	5.09E-05	0.000182157	yes
Gmnn	Gmnn	Gmnn	chr13:24843713-24853806	SVZ_IZ	VZ	OK	38.4554	78.845	1.03584	-5.23972	1.61E-07	8.00E-07	yes
Cyp4f13	Cyp4f13	Cyp4f13	chr17:33061632-33084306	CP	VZ	OK	1.10118	2.25845	1.03627	-2.96287	0.00304784	0.00785227	yes
Ndc80	Ndc80	Ndc80	chr17:71845439-71876197	SVZ_IZ	VZ	OK	14.0522	28.8201	1.03628	-5.23618	1.64E-07	8.14E-07	yes
Clspn	Clspn	Clspn	chr4:126234223-126271147	SVZ_IZ	VZ	OK	6.70194	13.7476	1.03653	-5.29334	1.20E-07	6.06E-07	yes
Pura	Pura	Pura	chr18:36440815-36447898	CP	VZ	OK	3.04785	6.25231	1.0366	-4.06299	4.84E-05	0.000174077	yes
Col9a1	Col9a1	Col9a1	chr1:24184448-24259577	CP	VZ	OK	0.291207	0.597459	1.03679	-2.50332	0.0123034	0.0274279	yes
Tkt	Tkt	Tkt	chr14:31362334-31387908	CP	VZ	OK	93.9036	192.66	1.03681	-7.28544	3.21E-13	2.61E-12	yes
Cmtm6	Cmtm6	Cmtm6	chr9:114640320-114658461	CP	VZ	OK	5.87812	12.0604	1.03685	-6.24387	4.27E-10	2.76E-09	yes
Fam174a	Fam174a	Fam174a	chr1:97210204-97231861	SVZ_IZ	VZ	OK	4.74477	9.73609	1.03701	-4.02111	5.79E-05	0.000205628	yes
Helz	Helz	Helz	chr11:107409273-107548257	CP	VZ	OK	1.62821	3.34121	1.03708	-5.26265	1.42E-07	7.10E-07	yes
Ankrd40	Ankrd40	Ankrd40	chr11:94189314-94203161	CP	VZ	OK	11.6185	23.8438	1.03719	-7.28078	3.32E-13	2.70E-12	yes
